female-100-education,20
female-100-healthcare,444
female-100-lawnsecurity,279
female-100-publicservices,253
female-100-realestate,11
female-100-retail,821
female-100-services,620
female-100-stem,113
female-100-transportation,175
female-100-whitecolar,895
female-1000-healthcare,184
female-1000-lawnsecurity,45
female-1000-publicservices,159
female-1000-realestate,6
female-1000-services,2
female-1000-stem,5
female-1000-transportation,14
female-1000-whitecolar,192
female-150-education,68
female-150-healthcare,558
female-150-lawnsecurity,237
female-150-publicservices,419
female-150-realestate,39
female-150-retail,166
female-150-services,630
female-150-stem,148
female-150-transportation,226
female-150-whitecolar,1017
female-200-healthcare,555
female-200-lawnsecurity,295
female-200-publicservices,212
female-200-realestate,14
female-200-retail,2
female-200-services,37
female-200-stem,64
female-200-transportation,17
female-200-whitecolar,350
female-50-education,22
female-50-healthcare,1065
female-50-lawnsecurity,280
female-50-publicservices,569
female-50-realestate,7
female-50-retail,284
female-50-services,270
female-50-stem,149
female-50-transportation,97
female-50-whitecolar,472
male-100-education,25
male-100-healthcare,149
male-100-lawnsecurity,431
male-100-publicservices,323
male-100-realestate,16
male-100-retail,319
male-100-services,711
male-100-stem,132
male-100-transportation,312
male-100-whitecolar,513
male-1000-healthcare,103
male-1000-lawnsecurity,275
male-1000-publicservices,626
male-1000-realestate,16
male-1000-services,21
male-1000-stem,32
male-1000-transportation,74
male-1000-whitecolar,215
male-150-education,48
male-150-healthcare,213
male-150-lawnsecurity,667
male-150-publicservices,450
male-150-realestate,68
male-150-retail,91
male-150-services,1176
male-150-stem,687
male-150-transportation,1097
male-150-whitecolar,747
male-200-education,3
male-200-healthcare,203
male-200-lawnsecurity,1342
male-200-publicservices,508
male-200-realestate,21
male-200-retail,3
male-200-services,268
male-200-stem,365
male-200-transportation,101
male-200-whitecolar,398
male-50-education,23
male-50-healthcare,304
male-50-lawnsecurity,418
male-50-publicservices,829
male-50-realestate,8
male-50-retail,244
male-50-services,368
male-50-stem,237
male-50-transportation,232
male-50-whitecolar,376
