female-100-education,16
female-100-healthcare,402
female-100-lawnsecurity,275
female-100-publicservices,237
female-100-realestate,8
female-100-retail,776
female-100-services,601
female-100-stem,115
female-100-transportation,178
female-100-whitecolar,861
female-1000-healthcare,204
female-1000-lawnsecurity,87
female-1000-publicservices,204
female-1000-realestate,6
female-1000-services,4
female-1000-stem,9
female-1000-transportation,18
female-1000-whitecolar,200
female-150-education,72
female-150-healthcare,548
female-150-lawnsecurity,225
female-150-publicservices,404
female-150-realestate,50
female-150-retail,216
female-150-services,644
female-150-stem,138
female-150-transportation,225
female-150-whitecolar,1048
female-200-healthcare,562
female-200-lawnsecurity,289
female-200-publicservices,182
female-200-realestate,17
female-200-retail,1
female-200-services,29
female-200-stem,73
female-200-transportation,7
female-200-whitecolar,396
female-50-education,21
female-50-healthcare,1022
female-50-lawnsecurity,269
female-50-publicservices,601
female-50-realestate,5
female-50-retail,241
female-50-services,329
female-50-stem,144
female-50-transportation,102
female-50-whitecolar,492
male-100-education,15
male-100-healthcare,148
male-100-lawnsecurity,479
male-100-publicservices,327
male-100-realestate,9
male-100-retail,306
male-100-services,723
male-100-stem,146
male-100-transportation,312
male-100-whitecolar,524
male-1000-healthcare,105
male-1000-lawnsecurity,501
male-1000-publicservices,742
male-1000-realestate,17
male-1000-retail,1
male-1000-services,22
male-1000-stem,38
male-1000-transportation,72
male-1000-whitecolar,229
male-150-education,42
male-150-healthcare,228
male-150-lawnsecurity,601
male-150-publicservices,465
male-150-realestate,55
male-150-retail,119
male-150-services,1140
male-150-stem,634
male-150-transportation,1093
male-150-whitecolar,728
male-200-education,7
male-200-healthcare,209
male-200-lawnsecurity,1212
male-200-publicservices,422
male-200-realestate,34
male-200-retail,2
male-200-services,290
male-200-stem,420
male-200-transportation,94
male-200-whitecolar,436
male-50-education,15
male-50-healthcare,301
male-50-lawnsecurity,339
male-50-publicservices,888
male-50-realestate,9
male-50-retail,180
male-50-services,350
male-50-stem,219
male-50-transportation,227
male-50-whitecolar,372
